,coef,feature
406,0.0911505584469096,the the
189,0.09322589661519395,in that
481,0.09326474639217056,who
148,0.09393241562824885,for and
315,0.09412579988032362,pron really
314,0.0948797112365585,pron pron
412,0.09696747046636245,the way
475,0.09785989158606369,when
218,0.09831762293906962,movie and
447,0.09981486556973826,to of
241,0.10129354205937849,of and
374,0.1028434229593696,the as
48,0.10554227646471848,as well
187,0.10752461044328769,in of
44,0.10800949649864948,as be
330,0.10867302418527588,pron when
214,0.10933014139269605,more than
289,0.10944267433861907,pron film
181,0.10946594058077057,how pron
232,0.11017616568778739,not have
303,0.11184662550954598,pron life
37,0.11394890924183292,and to
167,0.11409087924692721,good of
120,0.11462296047322744,character and
205,0.11597294317407998,look at
437,0.11786921942592443,to and
495,0.118426491652451,work
311,0.11853296915091903,pron on
417,0.11955731499404883,then pron
29,0.12083541229840225,and of
271,0.12123193481519316,people
299,0.12131291616769678,pron in
426,0.13253838718804548,this be
31,0.13257267878592693,and pron
482,0.13309446085640708,who be
234,0.1332556582250545,not know
146,0.13757167604964762,first
365,0.13841187381157666,that have
277,0.13884922059322605,pron also
153,0.1395398029562606,from pron
215,0.14095927254753654,most
474,0.14289803447649901,what pron
388,0.144986815516678,the great
465,0.14751325418185723,watch pron
211,0.15171539144822943,make the
403,0.15189419314954836,the show
358,0.1527257166593986,take pron
68,0.15362040577760774,be film
408,0.1538306974990235,the this
357,0.15438380303307994,take
404,0.15447462845346516,the story
197,0.15534833607257453,know
24,0.15846880040757905,and for
449,0.15983072020389177,to say
469,0.16441808507647193,way pron
188,0.1658690718775257,in pron
61,0.16733488639258084,be as
26,0.17036046138693003,and in
414,0.17373873541215895,the who
256,0.1751968348892922,on and
213,0.17621542960081626,more
145,0.17679126655010444,find pron
108,0.17690155814184547,but pron
116,0.1778276338655014,can be
176,0.17847482413408702,have pron
337,0.17914403062161086,say pron
136,0.18389728935302793,film and
20,0.1883708602569815,and as
135,0.18984476468749034,film
320,0.18988211496538213,pron take
101,0.19415154627448247,be when
461,0.1965426302874455,very and
409,0.1965906857447918,the time
89,0.19836913935724526,be really
282,0.19877826597125153,pron but
296,0.1992581531734598,pron good
454,0.19940091213152988,to to
488,0.20180610696934626,will pron
393,0.20383384458959247,the of
79,0.2059757417256018,be movie
246,0.20742296679135958,of in
185,0.2113848674205504,in and
363,0.2151825133360862,that and
158,0.21891574660269508,get to
141,0.21907358905481153,film that
52,0.22763321253620197,at the
434,0.2278501559807605,time and
452,0.22785307444054198,to the
394,0.22895526766398736,the on
440,0.23389793293140568,to find
45,0.2380259474848443,as pron
1,0.23892185996625656,about pron
487,0.24623831487802908,will not
164,0.24738593678117374,good
272,0.2502835911753095,play
310,0.2550649622943662,pron of
184,0.2561289624881678,in
173,0.26212266552820934,have in
348,0.26499224703522123,show pron
38,0.26627614865529325,and with
9,0.2682870265977679,all of
21,0.2726194499601097,and be
450,0.274853895935723,to see
304,0.27807395641454796,pron like
493,0.28348297020709534,with the
332,0.2845584045889782,pron will
342,0.28634685277391386,see pron
8,0.2908548075793577,all
411,0.2994325522553664,the two
41,0.29994988019540664,as
99,0.3037189993462202,be well
344,0.3052036868906197,see this
59,0.3100769121414634,be an
373,0.310842952442107,the and
98,0.3264279471199303,be very
278,0.33205176435842887,pron and
208,0.33355009111150336,love pron
212,0.34132227706631024,many
230,0.34425627071485887,not be
492,0.3464825748273305,with pron
306,0.35673803377747987,pron love
275,0.36591611514602457,pron
166,0.3732244302145762,good movie
281,0.3742774231714639,pron be
251,0.3791797050465728,of the
460,0.3813214506234131,very
268,0.38398359433821677,other
355,0.391618234818611,story
84,0.4155473461819019,be one
262,0.42232934072903056,one of
73,0.43706800391782563,be great
347,0.4535645896915302,show
341,0.46596046772020827,see
12,0.46706362866867124,also
485,0.48542856610785257,will
46,0.5213381728188831,as the
387,0.6692397354132851,the good
199,0.724813468320191,life
470,0.736532166351994,well
17,0.7805665072322756,and
207,0.8734003086868902,love
169,0.9878828163157377,great
